GPStime,peakFreq,snr,amplitude,centralFreq,duration,bandwidth,chisq,chisqDof,confidence,id,ifo,label,imgUrl,Q-value
1242412249.254,843.48,59.874,3.13e-22,2759.301,0.875,5276.463867,0.0,0.0,1.0,UM0ccc5IfA,L1,Whistle,https://ldas-jobs.ligo-la.caltech.edu/~gravityspy/runs/O3/8yHOfNYoeO/UM0ccc5IfA.png,45.255
1253562944.572,1588.309,47.924,4.94e-22,2154.801,0.961,3357.630371,0.0,0.0,1.0,oaTGlJLr6J,L1,Whistle,https://ldas-jobs.ligo-la.caltech.edu/~gravityspy/runs/O3/maAP4Hh5rw/oaTGlJLr6J.png,45.255
1243679045.582,39.789,35.21,2.7e-22,3982.889,1.25,7935.187988,0.0,0.0,1.0,BYJR52GZqM,L1,Tomte,https://ldas-jobs.ligo-la.caltech.edu/~gravityspy/runs/O3/7XUCjq25Uk/BYJR52GZqM.png,5.657
1239024901.117,210.359,35.195,1.08e-22,2586.514,1.11,4925.611816,0.0,0.0,1.0,zEgoojhUfF,L1,Whistle,https://ldas-jobs.ligo-la.caltech.edu/~gravityspy/runs/O3/qhLAT3FVEh/zEgoojhUfF.png,45.255
1250540898.895,39.789,32.256,2.74e-22,86.807,1.5,143.024033,0.0,0.0,1.0,2xI2dGbYbp,L1,Tomte,https://ldas-jobs.ligo-la.caltech.edu/~gravityspy/runs/O3/oG7gAHklnz/2xI2dGbYbp.png,5.657
1249463266.059,39.789,32.082,2.53e-22,86.807,1.5,143.024033,0.0,0.0,1.0,09hHvSRTH6,L1,Tomte,https://ldas-jobs.ligo-la.caltech.edu/~gravityspy/runs/O3/06k08uFmKz/09hHvSRTH6.png,5.657
1243933155.996,39.789,29.365,2.1900000000000004e-22,3982.889,1.16,7935.187988,0.0,0.0,1.0,0KZ1gVyd2u,L1,Tomte,https://ldas-jobs.ligo-la.caltech.edu/~gravityspy/runs/O3/aohtsAcPhA/0KZ1gVyd2u.png,5.657
1246398633.91,39.789,28.776,2.22e-22,3835.489,0.875,7640.387695,0.0,0.0,1.0,MUL71VziSm,L1,Tomte,https://ldas-jobs.ligo-la.caltech.edu/~gravityspy/runs/O3/5606JjF27b/MUL71VziSm.png,5.657
1253921604.105,39.789,28.703000000000007,2.23e-22,3871.818,1.25,7713.046875,0.0,0.0,1.0,wpWTts0U1B,L1,Tomte,https://ldas-jobs.ligo-la.caltech.edu/~gravityspy/runs/O3/T1xk7fRKpE/wpWTts0U1B.png,5.657
1248320152.449,39.789,28.304,2.2800000000000004e-22,3425.2790000000005,1.0,6819.967285,0.0,0.0,1.0,EBh0S8I0oc,L1,Tomte,https://ldas-jobs.ligo-la.caltech.edu/~gravityspy/runs/O3/D8wdMNnoFO/EBh0S8I0oc.png,5.657
1244937658.59,39.789,28.261,2.1099999999999998e-22,71.655,1.25,112.7202,0.0,0.0,1.0,LsGGikVa5n,L1,Tomte,https://ldas-jobs.ligo-la.caltech.edu/~gravityspy/runs/O3/L2DroUiwiK/LsGGikVa5n.png,5.657
1245896288.598,39.789,28.042,2.16e-22,3835.489,0.875,7640.387695,0.0,0.0,1.0,CdCp8rC03E,L1,Tomte,https://ldas-jobs.ligo-la.caltech.edu/~gravityspy/runs/O3/ynS3BUrRaq/CdCp8rC03E.png,5.657
1246315537.879,39.789,27.948,2.12e-22,3616.593,0.8959999999999999,7195.354492,0.0,0.0,1.0,kXC7pmKH1f,L1,Tomte,https://ldas-jobs.ligo-la.caltech.edu/~gravityspy/runs/O3/y1IDYbV7s0/kXC7pmKH1f.png,5.657
1253821701.332,39.789,27.774,2.13e-22,71.655,1.0,112.7202,0.0,0.0,1.0,O0pSBLYXi3,L1,Tomte,https://ldas-jobs.ligo-la.caltech.edu/~gravityspy/runs/O3/zDL3ePzBCS/O0pSBLYXi3.png,5.657
1247717315.072,49.208,27.446,1.74e-22,3982.889,1.0,7935.187988,0.0,0.0,1.0,VhNOQhE3vx,L1,Tomte,https://ldas-jobs.ligo-la.caltech.edu/~gravityspy/runs/O3/7MWI8EuO1E/VhNOQhE3vx.png,5.657
1246568885.137,39.789,27.322,2.6699999999999997e-22,88.617,1.25,139.40344199999998,0.0,0.0,1.0,f2lsj0oP7Q,L1,Tomte,https://ldas-jobs.ligo-la.caltech.edu/~gravityspy/runs/O3/mFHktoscQH/f2lsj0oP7Q.png,5.657
